I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16
15.139494,1200.000000,-411.662903,15.242496,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,116641.000000,0.000000,0.000000,116578.000000,4072.000000
15.140944,1200.000000,-411.701385,15.246540,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,117356.000000,0.000000,0.000000,117293.000000,4097.000000
15.151347,1200.000000,-411.977692,15.243562,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,117832.000000,0.000000,0.000000,117769.000000,4114.000000
15.153101,1200.000000,-412.024200,15.240583,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,118548.000000,0.000000,0.000000,118485.000000,4137.000000
15.154570,1200.000000,-412.063232,15.239272,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,119019.000000,0.000000,0.000000,118956.000000,4154.000000
15.157782,1200.000000,-412.148529,15.237934,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,119718.000000,0.000000,0.000000,119655.000000,4178.000000
15.145704,1200.000000,-411.827850,15.243972,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,120182.000000,0.000000,0.000000,120119.000000,4194.000000
15.133362,1200.000000,-411.500061,15.247414,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,120888.000000,0.000000,0.000000,120825.000000,4219.000000
15.139568,1200.000000,-411.664856,15.244218,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,121359.000000,0.000000,0.000000,121296.000000,4236.000000
15.144182,1200.000000,-411.787415,15.240993,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,122072.000000,0.000000,0.000000,122009.000000,4261.000000
15.150656,1200.000000,-411.959290,15.239573,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,122535.000000,0.000000,0.000000,122472.000000,4277.000000
15.152637,1200.000000,-412.011902,15.238153,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,123228.000000,0.000000,0.000000,123165.000000,4302.000000
15.152224,1200.000000,-412.000916,15.244108,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,123701.000000,0.000000,0.000000,123638.000000,4319.000000
15.156363,1200.000000,-412.110870,15.240911,0.000000,1.000000,2.000000,1.000000,0.000000,283.000000,0.000000,769.000000,124428.000000,0.000000,0.000000,124365.000000,4343.000000
