I0,I1,I2,I3,I4,I5,I6,I7
0.000000,37.743313,31.803240,563.750793,0.000000,0.000000,-1810.543701,135.080002
0.000000,38.512371,31.803240,573.286011,0.000000,0.000000,-2704.701904,131.520004
0.000000,38.974113,31.803240,579.658569,0.000000,0.000000,-3282.786133,134.330002
0.000000,39.630932,31.803240,588.940674,0.000000,0.000000,-4113.793457,126.349998
0.000000,40.028145,31.803240,595.002563,0.000000,0.000000,-4638.553223,124.209999
0.000000,40.574902,31.803240,603.956177,0.000000,0.000000,-5373.309570,118.209999
0.000000,40.920116,31.803240,609.774048,0.000000,0.000000,-5823.498047,112.550003
0.000000,41.356579,31.803240,618.039795,0.000000,0.000000,-6431.717773,106.660004
0.000000,41.594627,31.803240,623.312195,0.000000,0.000000,-6788.411621,100.489998
0.000000,41.865128,31.803240,630.880249,0.000000,0.000000,-7243.958496,92.269997
0.000000,42.004238,31.803240,635.639832,0.000000,0.000000,-7491.418945,84.620003
0.000000,42.167549,31.803240,642.281982,0.000000,0.000000,-7773.529297,74.379997
0.000000,42.271523,31.803240,646.335999,0.000000,0.000000,-7899.979004,65.959999
0.000000,42.406116,31.803240,651.703857,0.000000,0.000000,-7994.334473,56.029999
0.000000,42.492664,31.803240,654.913208,0.000000,0.000000,-7992.594727,48.709999
0.000000,42.625725,31.803240,659.140564,0.000000,0.000000,-7892.175293,37.849998
0.000000,42.731091,31.803240,661.504395,0.000000,0.000000,-7760.153320,29.360001
0.000000,42.873894,31.803240,664.431519,0.000000,0.000000,-7465.817383,19.850000
0.000000,42.976971,31.803240,665.958252,0.000000,0.000000,-7206.793457,11.380000
0.000000,43.168976,31.803240,667.625122,0.000000,0.000000,-6727.554688,3.180000
0.000000,43.318707,31.803240,668.340393,0.000000,0.000000,-6350.259277,-4.050000
0.000000,43.577568,31.803240,668.788086,0.000000,0.000000,-5703.219727,-12.860000
0.000000,43.780029,31.803240,668.751892,0.000000,0.000000,-5221.661133,-18.209999
0.000000,44.111614,31.803240,668.146240,0.000000,0.000000,-4431.593750,-26.799999
0.000000,44.356380,31.803240,667.437134,0.000000,0.000000,-3864.662109,-27.780001
0.000000,44.794926,31.803240,665.959839,0.000000,0.000000,-2963.207520,-36.080002
0.000000,45.124950,31.803240,664.751343,0.000000,0.000000,-2334.034180,-36.840000
0.000000,45.685371,31.803240,662.599854,0.000000,0.000000,-1358.585938,-40.049999
0.000000,46.053391,31.803240,660.986938,0.000000,0.000000,-693.668396,-42.680000
0.000000,46.613338,31.803240,658.335083,0.000000,0.000000,314.082458,-43.970001
0.000000,46.996746,31.803240,656.454468,0.000000,0.000000,985.931580,-42.759998
0.000000,47.634556,31.803240,653.640930,0.000000,0.000000,1981.732300,-37.990002
0.000000,48.078011,31.803240,651.851990,0.000000,0.000000,2630.607910,-34.570000
0.000000,48.721680,31.803240,649.114197,0.000000,0.000000,3569.535889,-41.599998
0.000000,49.148552,31.803240,647.256897,0.000000,0.000000,4165.771484,-38.580002
0.000000,49.582008,31.803240,644.658264,0.000000,0.000000,5004.298340,-32.310001
0.000000,49.731579,31.803240,643.022705,0.000000,0.000000,5519.845215,-27.590000
0.000000,49.833549,31.803240,640.820679,0.000000,0.000000,6217.908691,-19.650000
0.000000,49.871128,31.803240,639.570068,0.000000,0.000000,6627.713379,-15.640000
0.000000,49.908886,31.803240,638.056580,0.000000,0.000000,7150.732910,-7.230000
0.000000,49.925564,31.803240,637.333008,0.000000,0.000000,7434.031250,-1.390000
0.000000,49.942314,31.803240,636.716125,0.000000,0.000000,7754.754883,9.190000
0.000000,49.949715,31.803240,636.648987,0.000000,0.000000,7896.221191,15.040000
0.000000,49.967510,31.803240,637.104736,0.000000,0.000000,7996.301270,25.709999
0.000000,49.967915,31.803240,637.794983,0.000000,0.000000,7986.988770,33.959999
0.000000,49.985283,31.803240,639.358032,0.000000,0.000000,7858.203125,42.549999
0.000000,49.992950,31.803240,640.792725,0.000000,0.000000,7696.214355,49.599998
0.000000,49.989304,31.803240,643.555359,0.000000,0.000000,7341.235352,60.000000
0.000000,49.989265,31.803240,645.799194,0.000000,0.000000,7032.073730,65.519997
0.000000,49.981438,31.803240,649.760010,0.000000,0.000000,6464.735352,74.750000
0.000000,49.977978,31.803240,652.701233,0.000000,0.000000,6021.300293,80.449997
0.000000,49.974503,31.803240,657.601746,0.000000,0.000000,5266.314453,88.489998
0.000000,49.972969,31.803240,661.248169,0.000000,0.000000,4708.518066,94.250000
0.000000,49.971432,31.803240,667.219604,0.000000,0.000000,3800.612793,99.870003
0.000000,49.970749,31.803240,671.411560,0.000000,0.000000,3154.629639,102.230003
0.000000,49.970062,31.803240,678.035645,0.000000,0.000000,2137.144531,106.440002
0.000000,49.963169,31.803240,682.703979,0.000000,0.000000,1434.291138,108.339996
0.000000,49.948452,31.803240,690.017212,0.000000,0.000000,357.260376,111.269997
0.000000,49.935360,31.803240,695.056641,0.000000,0.000000,-367.440338,112.199997
0.000000,49.890869,31.803240,702.744385,0.000000,0.000000,-1449.654053,108.989998
0.000000,49.857170,31.803240,707.682495,0.000000,0.000000,-2159.164307,103.279999
0.000000,49.815529,31.803240,715.016663,0.000000,0.000000,-3190.563965,100.900002
0.000000,49.797134,31.803240,719.959106,0.000000,0.000000,-3847.710205,107.330002
0.000000,49.778660,31.803240,727.273071,0.000000,0.000000,-4773.571777,98.639999
0.000000,49.770496,31.803240,731.956665,0.000000,0.000000,-5343.022949,95.120003
0.000000,49.785847,31.803240,738.850464,0.000000,0.000000,-6112.861328,90.040001
0.000000,49.800079,31.803240,743.293945,0.000000,0.000000,-6563.084473,82.949997
0.000000,49.826576,31.803240,749.613708,0.000000,0.000000,-7133.524414,74.809998
