I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
0.000000,-2.448408,215.746292,216.363876,0.000000,0.000000,0.000000,1979.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,64.000000,3553.000000,2348.000000
0.000000,-2.661831,215.746292,216.381805,0.000000,0.000000,0.000000,1983.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,65.000000,3588.000000,2372.000000
0.000000,-2.707634,215.746292,216.367371,0.000000,0.000000,0.000000,1990.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,65.000000,3612.000000,2388.000000
0.000000,-2.647794,215.746292,216.376236,0.000000,0.000000,0.000000,1993.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,67.000000,3648.000000,2412.000000
0.000000,-2.525777,215.746292,216.411072,0.000000,0.000000,0.000000,1993.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,67.000000,3671.000000,2426.000000
0.000000,-2.212090,215.746292,216.478470,0.000000,0.000000,0.000000,1997.000000,518.000000,1049.000000,17.000000,30.000000,64.000000,67.000000,3706.000000,2450.000000
0.000000,-1.917316,215.746292,216.504120,0.000000,0.000000,0.000000,2007.000000,518.000000,1049.000000,17.000000,30.000000,65.000000,67.000000,3729.000000,2466.000000
0.000000,-1.359956,215.746292,216.549896,0.000000,0.000000,0.000000,2024.000000,518.000000,1049.000000,17.000000,30.000000,67.000000,67.000000,3765.000000,2490.000000
0.000000,-0.916027,215.746292,216.557968,0.000000,0.000000,0.000000,2028.000000,518.000000,1049.000000,17.000000,30.000000,67.000000,67.000000,3788.000000,2506.000000
0.000000,-0.225953,215.746292,216.595978,0.000000,0.000000,0.000000,2292.000000,647.000000,1180.000000,21.000000,34.000000,64.000000,199.000000,3817.000000,2525.000000
0.000000,0.223979,215.746292,216.602676,0.000000,0.000000,0.000000,2292.000000,647.000000,1180.000000,21.000000,34.000000,64.000000,199.000000,3841.000000,2541.000000
0.000000,0.856745,215.746292,216.577515,0.000000,0.000000,0.000000,2298.000000,647.000000,1180.000000,21.000000,34.000000,64.000000,64.000000,3876.000000,2565.000000
0.000000,1.262321,215.746292,216.567902,0.000000,0.000000,0.000000,2304.000000,647.000000,1180.000000,21.000000,34.000000,64.000000,64.000000,3900.000000,2581.000000
0.000000,1.842939,215.746292,216.529205,0.000000,0.000000,0.000000,2310.000000,647.000000,1180.000000,21.000000,34.000000,64.000000,64.000000,3936.000000,2604.000000
0.000000,2.212152,215.746292,216.494278,0.000000,0.000000,0.000000,2316.000000,647.000000,1180.000000,21.000000,34.000000,64.000000,65.000000,3960.000000,2620.000000
0.000000,2.749431,215.746292,216.478867,0.000000,0.000000,0.000000,2328.000000,647.000000,1180.000000,21.000000,34.000000,67.000000,65.000000,3995.000000,2643.000000
0.000000,3.093191,215.746292,216.476151,0.000000,0.000000,0.000000,2328.000000,647.000000,1180.000000,21.000000,34.000000,67.000000,65.000000,4018.000000,2659.000000
0.000000,3.572189,215.746292,216.474945,0.000000,0.000000,0.000000,2334.000000,647.000000,1180.000000,21.000000,34.000000,67.000000,67.000000,4053.000000,2683.000000
